system:index,B1,B2,B3,B4,B5,B6,B7,landuse,.geo
3014_0,0.119808614,0.10037222,0.09532012,0.07603271,0.35298574,0.22357729,0.109664604,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3015_0,0.124767,0.10316871,0.08834354,0.07100269,0.32159692,0.19804616,0.114432774,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3016_0,0.11713407,0.09784202,0.08261366,0.06109909,0.36352068,0.17863233,0.0827036,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3017_0,0.13328488,0.10155039,0.083977476,0.064206235,0.24678002,0.17251633,0.07832811,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3018_0,0.13593481,0.115238495,0.10285436,0.09267235,0.27248043,0.2686714,0.15365987,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3019_0,0.12534904,0.102218136,0.088213965,0.066048115,0.3085208,0.17688927,0.082348414,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3020_0,0.12497473,0.10614169,0.09843898,0.07510423,0.30716562,0.18199736,0.08940384,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3021_0,0.13080584,0.11786269,0.11841037,0.116810426,0.31828344,0.3066909,0.19473796,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3022_0,0.12955275,0.111253254,0.091862485,0.07758815,0.20904799,0.16954245,0.09071031,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3023_0,0.11658493,0.09593968,0.08543832,0.05861981,0.34419215,0.16343175,0.06876379,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3024_0,0.13008681,0.11113997,0.10292698,0.08559336,0.27124238,0.18580246,0.106219366,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3025_0,0.13874462,0.11484076,0.09553289,0.07342989,0.17800641,0.13485697,0.0768744,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3026_0,0.12627505,0.10550379,0.095231295,0.08122278,0.24943264,0.16465569,0.07278268,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3027_0,0.12710229,0.111977324,0.11130887,0.12030132,0.26707554,0.28417605,0.1973772,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
